TTFs per round:

Round 1: 275.6987626552582
Round 2: 275.7183656692505
Round 3: 212.64728260040283
Round 4: 199.25911045074463
Round 5: 202.83012104034424
Round 6: 205.19586658477783
Round 7: 202.9441545009613
Round 8: 206.79272317886353
Round 9: 207.99605250358582
Round 10: 212.11946964263916

TTF average: 220.1201908826828
