TTFs per round:

Round 1: 272.45087718963623
Round 2: 269.8451006412506
Round 3: 273.51898169517517
Round 4: 281.4669806957245
Round 5: 278.3412539958954
Round 6: 280.0141179561615
Round 7: 287.1064097881317
Round 8: 285.43537402153015
Round 9: 291.8002698421478
Round 10: 292.1789457798004

TTF average: 281.21583116054535
